"crop_rep_number","crop_id","crop_label_english","crop_label","crop_name","season_grown","season_grown.All_year","season_grown.First","season_grown.Second","season_grown.Spring","season_grown.Summer","crop_measurement","crop_measurement_q_en","crop_measurement_q_es","crop_area","crop_area_unit","crop_area_unit_label","crop_area_conversion","crop_area_conversion_input","crop_area_conversion_col","crop_area_ha","crop_area_ha_2dp","crop_area_ha_note","yield_info","crop_harvest","crop_yield","crop_yield_units","crop_yield_units_label","crop_yield_units_conversion","crop_yield_kg","crop_yield_kg_2dp","crop_yield_note","crop_yield_area","crop_yield_area_2dp","crop_yield_kg_ha","crop_yield_kg_ha_2dp","crop_yield_note2","crop_yield_note3","crop_land_area","crop_no2","crop_use","crop_use.eat","crop_use.feed_livestock","crop_use.givetrade","crop_use.save_seed","crop_use.sell","crop_no3","crop_consumed_prop","crop_sold_prop","crop_feed_lstk_prop","crop_seed_saved_prop","crop_no4","crop_sold_income","crop_sold_price_quantityunits","crop_price_quantityunits_other","crop_no5","crop_who_control_revenue","crop_who_control_revenue.Female_adult","crop_who_control_revenue.Female_Youth","crop_who_control_revenue.Male_adult","crop_who_control_revenue.Male_Youth","crop_consume_control","crop_consume_control.Female_adult","crop_consume_control.Female_Youth","crop_consume_control.Male_adult","crop_consume_control.Male_Youth","PARENT_KEY","KEY","crop_label_spanish","household_id","loc1_name","loc2_name"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","good_harvest",10,9,"Quintales 16 (100 Libras )",727,7270,7270,NA,10,10,10303.28798185941,10303.29,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult Male_adult",1,0,1,0,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",31,"Langue","Las Olivas"
2,9,"Red Beans","Frjoles colarados",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frjoles colarados during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frjoles colarados durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","good_harvest",12,3,"saco de 100 libras",45.4,544.8,544.8,NA,12,12,772.1088435374149,772.11,NA,NA,"Half",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult Female_adult",1,0,1,0,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Frjoles colarados",31,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",14,9,"Quintales 16 (100 Libras )",727,10178,10178,NA,14,14,14424.603174603175,14424.6,NA,NA,"All",NA,"eat save_seed",1,0,0,1,0,NA,"All","","","Little",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult",0,0,1,0,"uuid:b0da89a5-12bd-4511-8539-79cd0594309a","uuid:b0da89a5-12bd-4511-8539-79cd0594309a/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",35,"Langue","Las Olivas"
2,9,"Red Beans","Frjoles colarados",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frjoles colarados during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frjoles colarados durante los últimos 12 meses?",3,8,"Tarea",0.04375,NA,0.04375,0.13124999999999998,0.13,NA,"Y","normal_harvest",5,3,"saco de 100 libras",45.4,227,227,NA,1.6666666666666667,1.67,1729.5238095238099,1729.52,NA,NA,"All",NA,"eat save_seed",1,0,0,1,0,NA,"All","","","Little",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult Female_adult",1,0,1,0,"uuid:b0da89a5-12bd-4511-8539-79cd0594309a","uuid:b0da89a5-12bd-4511-8539-79cd0594309a/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Frjoles colarados",35,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","good_harvest",30,9,"Quintales 16 (100 Libras )",727,21810,21810,NA,30,30,30909.863945578232,30909.86,NA,NA,"Most",NA,"eat save_seed",1,0,0,1,0,NA,"All","","","Little",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult Female_adult",1,0,1,0,"uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd","uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",36,"Langue","Las Olivas"
2,9,"Red Beans","Frjoles colarados",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frjoles colarados during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frjoles colarados durante los últimos 12 meses?",1,8,"Tarea",0.04375,NA,0.04375,0.04375,0.04,NA,"N","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",0,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"",0,0,0,0,"uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd","uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Frjoles colarados",36,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",2,3,"Manzana",0.7056,NA,0.7056,1.4112,1.41,NA,"Y","good_harvest",26,3,"saco de 100 libras",45.4,1180.3999999999999,1180.4,NA,13,13,836.4512471655328,836.45,NA,NA,"Most",NA,"eat sell save_seed",1,0,0,1,1,NA,"Half","Half","","UnderHalf",NA,1000,"price_per_bag_100lb",NA,NA,"Male_adult Female_adult",1,0,1,0,"Female_adult Male_adult",1,0,1,0,"uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9","uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",60,"Langue","Las Olivas"
2,23,"Beans","Frijoles",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frijoles during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frijoles durante los últimos 12 meses?",2,3,"Manzana",0.7056,NA,0.7056,1.4112,1.41,NA,"Y","normal_harvest",12,3,"saco de 100 libras",45.4,544.8,544.8,NA,6,6,386.05442176870747,386.05,NA,NA,"no_answer",NA,"sell eat",1,0,0,0,1,NA,"Half","Half","","",NA,1500,"price_per_bag_100lb",NA,NA,"Male_adult Female_adult",1,0,1,0,"Male_adult Female_adult",1,0,1,0,"uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9","uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Frijoles",60,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",10,3,"saco de 100 libras",45.4,454,454,NA,10,10,643.4240362811792,643.42,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult",0,0,1,0,"uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79","uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",63,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","normal_harvest",18,3,"saco de 100 libras",45.4,817.1999999999999,817.2,NA,18,18,1158.1632653061224,1158.16,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult",0,0,1,0,"uuid:6819f15f-5890-464b-8fac-dfb2478d1eba","uuid:6819f15f-5890-464b-8fac-dfb2478d1eba/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",59,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","good_harvest",15,3,"saco de 100 libras",45.4,681,681,NA,15,15,965.1360544217687,965.14,NA,NA,"UnderHalf",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Male_adult Female_adult",1,0,1,0,"uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771","uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",50,"Langue","Las Olivas"
2,23,"Beans","Frijoles",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Frijoles during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Frijoles durante los últimos 12 meses?",6,8,"Tarea",0.04375,NA,0.04375,0.26249999999999996,0.26,NA,"Y","good_harvest",6,3,"saco de 100 libras",45.4,272.4,272.4,NA,1,1,1037.7142857142858,1037.71,NA,NA,"UnderHalf",NA,"eat sell",1,0,0,0,1,NA,"UnderHalf","Half","","",NA,1500,"price_per_bag_100lb",NA,NA,"Male_adult Female_adult",1,0,1,0,"Male_adult Female_adult",1,0,1,0,"uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771","uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Frijoles",50,"Langue","Las Olivas"
1,3,"Maize","Maíz",NA,"Second",0,0,1,0,0,"area","In total, how much land did you use for growing Maíz during the last 12 months?","En total, ¿cuánta area de tierra utilizó para cultivar Maíz durante los últimos 12 meses?",1,3,"Manzana",0.7056,NA,0.7056,0.7056,0.71,NA,"Y","good_harvest",30,9,"Quintales 16 (100 Libras )",727,21810,21810,NA,30,30,30909.863945578232,30909.86,NA,NA,"Most",NA,"eat",1,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,"Female_adult Male_adult",1,0,1,0,"uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maíz",14,"Langue","Las Olivas"
2,5,"Bananas","Guineos",NA,"All_year",1,0,0,0,0,"plants","In total, how many Guineos plants did you grow during the last 12 months?","En total, ¿cuántas Guineos plantas cultivaste durante los últimos 12 meses?",30,4,"Plantas",-99,NA,-99,NA,NA,NA,"Y","good_harvest",500,6,"unidades (general)",-99,NA,NA,NA,16.666666666666668,16.67,NA,NA,NA,NA,"Little",NA,"eat sell",1,0,0,0,1,NA,"UnderHalf","UnderHalf","","",NA,400,"price_per_unit",NA,NA,"Female_adult Male_adult",1,0,1,0,"Female_adult Male_adult",1,0,1,0,"uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Guineos",14,"Langue","Las Olivas"
