"crop_rep_number","crop_id","crop_label_english","crop_label","crop_name","season_grown","season_grown.all_year","season_grown.dry_cold","season_grown.dry_hot","season_grown.rain","crop_measurement","crop_measurement_q_en","crop_measurement_q_fr","crop_area","crop_area_unit","crop_area_unit_label","crop_area_conversion","crop_area_conversion_input","crop_area_conversion_col","crop_area_ha","crop_area_ha_2dp","crop_area_ha_note","crop_harvest","crop_yield","crop_yield_units","crop_yield_units_label","crop_yield_units_conversion","crop_yield_conversion_input","crop_yield_units_conversion_col","crop_yield_kg","crop_yield_kg_2dp","crop_yield_note","crop_yield_area","crop_yield_area_2dp","crop_yield_kg_ha","crop_yield_kg_ha_2dp","crop_yield_note2","crop_yield_note3","crop_intercrop","crop_land_area","crop_no2","crop_use","crop_use.eat","crop_use.feed_livestock","crop_use.givetrade","crop_use.no_answer","crop_use.no_harvest","crop_use.save_seed","crop_use.sell","crop_no3","crop_consumed_prop","crop_sold_prop","crop_feed_lstk_prop","crop_seed_saved_prop","crop_no4","crop_sold_income","crop_sold_price_quantityunits","crop_price_quantityunits_other","crop_no5","crop_who_control_revenue","crop_who_control_revenue.Female_adult","crop_who_control_revenue.Female_Youth","crop_who_control_revenue.Male_adult","crop_who_control_revenue.Male_Child","crop_who_control_revenue.Male_Youth","crop_who_control_revenue.no_answer","crop_consume_control","crop_consume_control.Female_adult","crop_consume_control.Female_Youth","crop_consume_control.Male_adult","crop_consume_control.Male_Child","crop_consume_control.Male_Youth","crop_consume_control.no_answer","crop_no6","crop_residue_use","crop_residue_use.burn","crop_residue_use.compost","crop_residue_use.construction","crop_residue_use.feed","crop_residue_use.fuel","crop_residue_use.no_answer","crop_residue_use.sell","crop_residue_use.soil","PARENT_KEY","KEY","crop_label_french","household_id"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",25,2,"Hectares",1,NA,1,25,25,NA,"normal_harvest",15,2,"Tonnes",1000,NA,1000,15000,15000,NA,0.6,0.6,600,600,NA,NA,"monoculture","All",NA,"eat sell feed_livestock save_seed",1,1,0,0,0,1,1,NA,"All","UnderHalf","Little","UnderHalf",NA,4575000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"feed",0,0,0,1,0,0,0,0,"uuid:4f6afde8-c888-45a2-9a84-7fb3e46c969a","uuid:4f6afde8-c888-45a2-9a84-7fb3e46c969a/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","88"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",600,1,"Kg",1,NA,1,600,600,NA,600,600,600,600,NA,NA,"monoculture","Most",NA,"eat feed_livestock save_seed",1,1,0,0,0,1,0,NA,"All","","Little","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd","uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","89"
2,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",2,2,"Hectares",1,NA,1,2,2,NA,"normal_harvest",2,2,"Tonnes",1000,NA,1000,2000,2000,NA,1,1,1000,1000,NA,NA,"monoculture","Most",NA,"eat feed_livestock save_seed",1,1,0,0,0,1,0,NA,"All","","Little","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd","uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Mil","89"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",6,2,"Hectares",1,NA,1,6,6,NA,"normal_harvest",10,2,"Tonnes",1000,NA,1000,10000,10000,NA,1.6666666666666667,1.67,1666.6666666666667,1666.67,NA,NA,"monoculture","All",NA,"eat sell feed_livestock save_seed",1,1,0,0,0,1,1,NA,"All","Most","Little","UnderHalf",NA,175,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","X4OBZH"
2,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",4,2,"Hectares",1,NA,1,4,4,NA,"normal_harvest",4,2,"Tonnes",1000,NA,1000,4000,4000,NA,1,1,1000,1000,NA,NA,"monoculture","All",NA,"eat save_seed feed_livestock sell",1,1,0,0,0,1,1,NA,"All","Little","Little","UnderHalf",NA,305,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Arachide","X4OBZH"
3,1,"Maize","Maïs",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Maïs during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Maïs au cours des 12 dernier mois ?",2,2,"Hectares",1,NA,1,2,2,NA,"normal_harvest",6,2,"Tonnes",1000,NA,1000,6000,6000,NA,3,3,3000,3000,NA,NA,"monoculture","All",NA,"eat sell feed_livestock save_seed",1,1,0,0,0,1,1,NA,"All","UnderHalf","Little","UnderHalf",NA,150,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]","Maïs","X4OBZH"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",2,2,"Hectares",1,NA,1,2,2,NA,"normal_harvest",1350,1,"Kg",1,NA,1,1350,1350,NA,675,675,675,675,NA,NA,"monoculture","Most",NA,"save_seed",0,0,0,0,0,1,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"",0,0,0,0,0,0,NA,"soil feed sell",0,0,0,1,0,0,1,1,"uuid:e51a4193-b91b-4952-8765-acf9e7f684b4","uuid:e51a4193-b91b-4952-8765-acf9e7f684b4/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","71"
1,30,"Onion","Oignon",NA,"dry_cold dry_hot",0,1,1,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",6800,1,"Kg",1,NA,1,6800,6800,NA,6800,6800,6800,6800,NA,NA,"intercrop","Half",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","Most","","",NA,600000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult Female_Youth",0,1,1,0,0,0,NA,"soil compost",0,1,0,0,0,0,0,1,"uuid:2615701c-647c-4d1a-8261-7e7aaca72815","uuid:2615701c-647c-4d1a-8261-7e7aaca72815/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","21"
1,30,"Onion","Oignon",NA,"dry_cold dry_hot",0,1,1,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",6.5,2,"Tonnes",1000,NA,1000,6500,6500,NA,6.5,6.5,6500,6500,NA,NA,"intercrop","Most",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","Most","","",NA,650000,"total_income_per_year",NA,NA,"Female_adult Male_Youth",1,0,0,0,1,0,"Female_adult Male_Youth",1,0,0,0,1,0,NA,"soil",0,0,0,0,0,0,0,1,"uuid:58f0bd1f-700d-40f5-aca0-f8a3f19fb3ec","uuid:58f0bd1f-700d-40f5-aca0-f8a3f19fb3ec/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","22"
1,30,"Onion","Oignon",NA,"dry_hot dry_cold",0,1,1,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",6500,1,"Kg",1,NA,1,6500,6500,NA,6500,6500,6500,6500,NA,NA,"intercrop","Half",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","Most","","",NA,650000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"compost soil",0,1,0,0,0,0,0,1,"uuid:befcb4be-5146-4f08-869f-15a6b6e18086","uuid:befcb4be-5146-4f08-869f-15a6b6e18086/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","20"
